Date,Close,Volume
02/18/2020,79.75,152762200
02/14/2020,81.24,80113800
02/13/2020,81.22,94747560
02/12/2020,81.8,113730280
02/11/2020,79.9,94323120
02/10/2020,80.39,109348880
02/07/2020,80.01,117684040
02/06/2020,81.3,105425560
02/05/2020,80.36,118826880
02/04/2020,79.71,136616520
02/03/2020,77.17,173985600
01/31/2020,77.38,199588400
01/30/2020,80.97,126743240
01/29/2020,81.08,216599720
01/28/2020,79.42,162233960
01/27/2020,77.24,161940040
01/24/2020,79.58,146537520
01/23/2020,79.81,104471960
01/22/2020,79.42,101832480
01/21/2020,79.14,110843240
01/17/2020,79.68,137816480
01/16/2020,78.81,108829000
01/15/2020,77.83,121923520
01/14/2020,78.17,162613840
01/13/2020,79.24,122086880
01/10/2020,77.58,140869080
01/09/2020,77.41,170486160
01/08/2020,75.8,132363800
01/07/2020,74.6,111510640
01/06/2020,74.95,118578560
01/03/2020,74.36,146535520
01/02/2020,75.09,135647440
12/31/2019,73.41,100990520
12/30/2019,72.88,144238440
12/27/2019,72.45,146371760
12/26/2019,72.48,93336000
12/24/2019,71.07,48478840
12/23/2019,71.0,98711520
12/20/2019,69.86,276130960
12/19/2019,70.0,98507800
12/18/2019,69.94,116098760
12/17/2019,70.1,114303200
12/16/2019,69.96,128324440
12/13/2019,68.79,133731240
12/12/2019,67.86,137748160
12/11/2019,67.69,78893560
12/10/2019,67.12,90529520
12/09/2019,66.73,128730600
12/06/2019,67.68,106189960
12/05/2019,66.4,74645360
12/04/2019,65.44,67241560
12/03/2019,64.86,117509080
12/02/2019,66.04,94774200
11/29/2019,66.81,46617440
11/27/2019,66.96,65544480
11/26/2019,66.07,105339520
11/25/2019,66.59,84118080
11/22/2019,65.44,65325040
11/21/2019,65.5,121395120
11/20/2019,65.8,106439680
11/19/2019,66.57,76278400
11/18/2019,66.78,86803600
11/15/2019,66.44,100374680
11/14/2019,65.66,89582240
11/13/2019,66.12,103270360
11/12/2019,65.49,87388920
11/11/2019,65.55,82029840
11/08/2019,65.04,70082000
11/07/2019,64.86,94940320
11/06/2019,64.31,75864480
11/05/2019,64.28,79897720
11/04/2019,64.38,103271800
11/01/2019,63.96,151125320
10/31/2019,62.19,139162080
10/30/2019,60.82,124522080
10/29/2019,60.82,142839480
10/28/2019,62.26,96572960
10/25/2019,61.64,73477200
10/24/2019,60.9,71665040
10/23/2019,60.8,79730200
10/22/2019,59.99,90736000
10/21/2019,60.13,89469920
10/18/2019,59.1,97508680
10/17/2019,58.82,69091600
10/16/2019,58.59,77146760
10/15/2019,58.83,92161920
10/14/2019,58.97,97653920
10/11/2019,59.05,167960840
10/10/2019,57.52,115851920
10/09/2019,56.76,76117680
10/08/2019,56.1,117130800
10/07/2019,56.76,123557080
10/04/2019,56.75,139022200
10/03/2019,55.2,121410760
10/02/2019,54.74,143069040
10/01/2019,56.15,144748640
09/30/2019,55.99,105274320
09/27/2019,54.7,101445160
09/26/2019,54.97,76353240
09/25/2019,55.26,89924040
09/24/2019,54.42,125737480
09/23/2019,54.68,77678600
09/20/2019,54.43,231908360
09/19/2019,55.24,88751520
09/18/2019,55.69,102572360
09/17/2019,55.18,73545880
09/16/2019,54.98,84632560
09/13/2019,54.69,159053200
09/12/2019,55.77,128906680
09/11/2019,55.9,177158600
09/10/2019,54.18,127111720
09/09/2019,53.54,109237600
09/06/2019,53.32,77449160
09/05/2019,53.32,95787520
09/04/2019,52.3,76867280
09/03/2019,51.42,80238280
08/30/2019,52.18,84650240
08/29/2019,52.25,84030600
08/28/2019,51.38,63830520
08/27/2019,51.04,103589360
08/26/2019,51.62,104264520
08/23/2019,50.66,187531360
08/22/2019,53.12,89071280
08/21/2019,53.16,86259000
08/20/2019,52.59,107678120
08/19/2019,52.59,97727680
08/16/2019,51.62,115254480
08/15/2019,50.44,111533440
08/14/2019,50.69,146189760
08/13/2019,52.24,190159160
08/12/2019,50.12,89927560
08/09/2019,50.25,98479000
08/08/2019,50.86,108038080
08/07/2019,49.76,133457600
08/06/2019,49.25,143299160
08/05/2019,48.34,209571880
08/02/2019,51.0,163448480
08/01/2019,52.11,216071680
07/31/2019,53.26,277125440
07/30/2019,52.2,135742880
07/29/2019,52.42,86693560
07/26/2019,51.94,70475480
07/25/2019,51.76,55638240
07/24/2019,52.17,59966280
07/23/2019,52.21,73420840
07/22/2019,51.8,89111720
07/19/2019,50.65,83717240
07/18/2019,51.42,74328640
07/17/2019,50.84,56429800
07/16/2019,51.12,67467280
07/15/2019,51.3,67789680
07/12/2019,50.82,70380840
07/11/2019,50.44,80767360
07/10/2019,50.81,71588560
07/09/2019,50.31,82312080
07/08/2019,50.0,101354520
07/05/2019,51.06,69062080
07/03/2019,51.1,45448200
07/02/2019,50.68,67740880
07/01/2019,50.39,109266960
06/28/2019,49.48,124442560
06/27/2019,49.94,83598880
06/26/2019,49.95,104270040
06/25/2019,48.89,84281320
06/24/2019,49.64,72881680
06/21/2019,49.7,191202360
06/20/2019,49.86,86055960
06/19/2019,49.47,84496960
06/18/2019,49.61,106204000
06/17/2019,48.47,58676560
06/14/2019,48.18,75045880
06/13/2019,48.54,86698520
06/12/2019,48.55,73012760
06/11/2019,48.7,107731520
06/10/2019,48.14,104883400
06/07/2019,47.54,122737560
06/06/2019,46.3,90105240
06/05/2019,45.64,119093720
06/04/2019,44.91,123871840
06/03/2019,43.32,161584280
05/31/2019,43.77,108174320
05/30/2019,44.58,84873640
05/29/2019,44.34,113924680
05/28/2019,44.56,111792640
05/24/2019,44.74,94858760
05/23/2019,44.92,146118960
05/22/2019,45.7,118994240
05/21/2019,46.65,113459400
05/20/2019,45.77,154449160
05/17/2019,47.25,131516360
05/16/2019,47.52,132125440
05/15/2019,47.73,106178880
05/14/2019,47.16,146118720
05/13/2019,46.43,229722480
05/10/2019,49.3,164834840
05/09/2019,50.18,139634440
05/08/2019,50.72,105358000
05/07/2019,50.72,155054800
05/06/2019,52.12,129772440
05/03/2019,52.94,83569520
05/02/2019,52.29,127985280
05/01/2019,52.63,259309320
04/30/2019,50.17,183004640
04/29/2019,51.15,88041440
04/26/2019,51.08,74451080
04/25/2019,51.32,73855400
04/24/2019,51.79,69710280
04/23/2019,51.87,93145520
04/22/2019,51.13,71367680
04/18/2019,50.96,96742120
04/17/2019,50.78,115461240
04/16/2019,49.81,102673320
04/15/2019,49.81,70096600
04/12/2019,49.72,110954320
04/11/2019,49.74,82172760
04/10/2019,50.16,86619000
04/09/2019,49.88,142953120
04/08/2019,50.02,103319520
04/05/2019,49.25,73892280
04/04/2019,48.92,76360200
04/03/2019,48.84,92972640
04/02/2019,48.5,90909480
04/01/2019,47.81,109232800
03/29/2019,47.49,94099320
03/28/2019,47.18,82841560
